,Description,Measure,"Fatty acids, total polyunsaturated(g)Per Measure","Fiber, total dietary(g)Per 100 g","Fatty acids, total saturated(g)Per Measure","Carbohydrate, by difference(g)Per Measure","Sugars, total(g)Per Measure",Protein(g)Per Measure,"Sodium, Na(mg)Per Measure","Magnesium, Mg(mg)Per Measure","Phosphorus, P(mg)Per Measure","Calcium, Ca(mg)Per Measure","Manganese, Mn(mg)Per Measure","Potassium, K(mg)Per Measure","Selenium, Se(Âµg)Per Measure","Iron, Fe(mg)Per Measure","Fluoride, F(Âµg)Per Measure","Zinc, Zn(mg)Per Measure",Vitamin B-6 (mg) Per Measure,Riboflavin(mg)Per Measure,Vitamin B-12 (Âµg) Per Measure,Vitamin D2 (ergocalciferol) (Âµg) Per Measure,Vitamin D (IU) Per Measure,Pantothenic Acid(mg)Per Measure,"Vitamin C, Total Ascorbic Acid (mg) Per Measure",Vitamin K (phylloquinone) (Âµg) Per Measure,Vitamin E (alpha-tocopherol) (mg) Per Measure,"Folate, total(Âµg)Per Measure","Choline, total(mg)Per Measure",Niacin(mg)Per 100 g
42,"Apples, raw, without skin",1.0 cups slices,,,,,11.11,,,,,,,,,,,,,,,,,,,,,,,
43,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,,,,8.98,,,,,,,,,,,,,,,,,,,,,,,
44,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,,,,,2.49,,,,,,,,,,,,,,,,,,,,,,,
45,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,
46,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cup,,,,,,40.59,,,,,,,,,,,,,,,,,,,,,,
47,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,,,,,,23.98,,,,,,,,,,,,,,,,,,,,,,
48,"Fish, tilapia, raw",1.0 fillet,,,,,,23.29,,,,,,,,,,,,,,,,,,,,,,
49,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,,,,,,23.26,,,,,,,,,,,,,,,,,,,,,,
50,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,16.9,,,,,,,,,,,,,,,,,,,,,,
51,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cup spaghetti,,,,,,12.62,,,,,,,,,,,,,,,,,,,,,,
52,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cup,,,,,,4.39,,,,,,,,,,,,,,,,,,,,,,
53,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",1.0 oz,,,,,,3.15,,,,,,,,,,,,,,,,,,,,,,
54,"Tomatoes, red, ripe, canned, stewed",1.0 cup,,,,,,2.32,,,,,,,,,,,,,,,,,,,,,,
55,"Mangos, raw",1.0 cup pieces,,,,,,1.35,,,,,,,,,,,,,,,,,,,,,,
56,"Apples, raw, without skin",1.0 cup slices,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,
57,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,,,,,,564.0,,,,,,,,,,,,,,,,,,,,,
58,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,,,,,,,136.0,,,,,,,,,,,,,,,,,,,,,
59,"Fish, tilapia, raw",1.0 fillet,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,
60,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",1.0 oz,,,,,,,58.0,,,,,,,,,,,,,,,,,,,,,
61,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,
62,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,
63,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,
64,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,
65,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,
66,"Mangos, raw",1.0 cups pieces,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
67,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,,,,,,,,116.0,,,,,,,,,,,,,,,,,,,,
68,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,
69,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,
70,"Fish, tilapia, raw",1.0 fillet,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,
71,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,
72,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,
73,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,
74,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,
75,"Mangos, raw",1.0 cups pieces,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,
76,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",1.0 oz,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,
77,"Apples, raw, without skin",1.0 cups slices,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
78,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,,,,,,,,,312.0,,,,,,,,,,,,,,,,,,,
79,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,,,,,,,,,262.0,,,,,,,,,,,,,,,,,,,
80,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,,,,,,,,,253.0,,,,,,,,,,,,,,,,,,,
81,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,,,,,,,,,242.0,,,,,,,,,,,,,,,,,,,
82,"Fish, tilapia, raw",1.0 fillet,,,,,,,,,197.0,,,,,,,,,,,,,,,,,,,
83,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,,,,192.0,,,,,,,,,,,,,,,,,,,
84,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,,,,,,,,,51.0,,,,,,,,,,,,,,,,,,,
85,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,,,,,,,,51.0,,,,,,,,,,,,,,,,,,,
86,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",1.0 oz,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,
87,"Mangos, raw",1.0 cups pieces,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,
88,"Apples, raw, without skin",1.0 cups slices,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,
89,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,,,,,,,,,87.0,,,,,,,,,,,,,,,,,,
90,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,
91,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,
92,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,
93,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,
94,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,
95,"Mangos, raw",1.0 cups pieces,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,
96,"Fish, tilapia, raw",1.0 fillet,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,
97,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",1.0 oz,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,
98,"Apples, raw, without skin",1.0 cups slices,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,
99,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,
100,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,,,,,,,,,,,2.715,,,,,,,,,,,,,,,,,
101,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",1.0 oz,,,,,,,,,,,0.755,,,,,,,,,,,,,,,,,
102,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,
103,"Mangos, raw",1.0 cups pieces,,,,,,,,,,,0.104,,,,,,,,,,,,,,,,,
104,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,,,,,,,,,,,0.095,,,,,,,,,,,,,,,,,
105,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,,,,,,,,,,,0.046,,,,,,,,,,,,,,,,,
106,"Fish, tilapia, raw",1.0 fillet,,,,,,,,,,,0.043,,,,,,,,,,,,,,,,,
107,"Apples, raw, without skin",1.0 cups slices,,,,,,,,,,,0.042,,,,,,,,,,,,,,,,,
108,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,,,,,,,,,,,0.016,,,,,,,,,,,,,,,,,
109,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,
110,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,,,,,,0.009,,,,,,,,,,,,,,,,,
111,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,,,,,,,,,,,528.0,,,,,,,,,,,,,,,,
112,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,,,,,,,,,,,,444.0,,,,,,,,,,,,,,,,
113,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,,,,,,,,,,,,395.0,,,,,,,,,,,,,,,,
114,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,,,,,,,,,,,,387.0,,,,,,,,,,,,,,,,
