,Description,Measure,"Sodium, Na(mg)Per Measure","Magnesium, Mg(mg)Per Measure","Phosphorus, P(mg)Per Measure","Calcium, Ca(mg)Per Measure","Manganese, Mn(mg)Per Measure","Potassium, K(mg)Per Measure","Selenium, Se(µg)Per Measure","Iron, Fe(mg)Per Measure","Fluoride, F(µg)Per Measure","Zinc, Zn(mg)Per Measure"
5276,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,,,,,,,8.0,,,
5497,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,,,,,,1.5,,,
5567,"Mangos, raw",1.0 cups pieces,,,,,,,1.0,,,
5825,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,,,,,,,3.39,,
5829,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,,,,,,,,3.29,,
5899,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,,,,,,,,2.09,,
5978,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,,,,,,,,1.46,,
6003,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,,,,,,,,1.36,,
6181,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",1.0 oz,,,,,,,,0.76,,
6243,"Fish, tilapia, raw",1.0 fillet,,,,,,,,0.65,,
6265,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,,,,,,,,0.6,,
6444,"Mangos, raw",1.0 cups pieces,,,,,,,,0.26,,
6446,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,,,0.26,,
6554,"Apples, raw, without skin",1.0 cups slices,,,,,,,,0.08,,
6763,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,,,,,,,,,,4.07
6813,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,,,,,,,,,,2.7
6984,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,,,,,,,,,,0.89
7106,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,,,,,,,,,,0.46
7115,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,,,,,,,,,,0.44
7119,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,,,,,,,,,0.43
7139,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,,,,,,,,,0.38
7142,"Fish, tilapia, raw",1.0 fillet,,,,,,,,,,0.38
7327,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",1.0 oz,,,,,,,,,,0.18
7362,"Mangos, raw",1.0 cups pieces,,,,,,,,,,0.15
7455,"Apples, raw, without skin",1.0 cups slices,,,,,,,,,,0.06
