,Description,Measure,Vitamin B-6 (mg) Per Measure,Riboflavin(mg)Per Measure,Vitamin B-12 (µg) Per Measure,Vitamin D2 (ergocalciferol) (µg) Per Measure,Vitamin D (IU) Per Measure,Pantothenic Acid(mg)Per Measure,"Vitamin C, Total Ascorbic Acid (mg) Per Measure",Vitamin K (phylloquinone) (µg) Per Measure,Vitamin E (alpha-tocopherol) (mg) Per Measure,"Folate, total(µg)Per Measure","Choline, total(mg)Per Measure",Niacin(mg)Per 100 g
886,"Pork, fresh, loin, tenderloin, separable lean and fat, with added solution, raw",4.0 oz,,0.376,,,,,,,,,,
887,"Beans, black, mature seeds, raw",1.0 cups,,0.374,,,,,,,,,,
888,"Pork, fresh, shoulder, blade, boston (steaks), separable lean only, cooked, broiled",3.0 oz,,0.374,,,,,,,,,,
889,"Cheese, ricotta, whole milk",0.5 cups,,0.37,,,,,,,,,,
890,"Fast foods, english muffin, with egg, cheese, and canadian bacon",1.0 sandwich,,0.369,,,,,,,,,,
891,"Cereals, oats, instant, fortified, with raisins and spice, prepared with water",1.0 cups,,0.365,,,,,,,,,,
892,"Pasta, dry, enriched",1.0 cups spaghetti,,0.364,,,,,,,,,,
893,"Yogurt, plain, low fat",1.0 container (6 oz),,0.364,,,,,,,,,,
894,"Cheese, parmesan, grated",1.0 cups,,0.358,,,,,,,,,,
895,"Lamb, Australian, imported, fresh, leg, whole (shank and sirloin), separable lean only, trimmed to 1/8"" fat, cooked, roasted",3.0 oz,,0.357,,,,,,,,,,
896,"Lamb, Australian, imported, fresh, leg, center slice, bone-in, separable lean only, trimmed to 1/8"" fat, cooked, broiled",3.0 oz,,0.357,,,,,,,,,,
897,"Lamb, Australian, imported, fresh, leg, shank half, separable lean only, trimmed to 1/8"" fat, cooked, roasted",3.0 oz,,0.357,,,,,,,,,,
898,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",1.0 cups,,0.349,,,,,,,,,,
899,"Beverages, Energy drink, AMP, sugar free",8.0 fl oz,,0.341,,,,,,,,,,
900,"Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame)",1.0 bagel,,0.341,,,,,,,,,,
901,"Yogurt, fruit, low fat, 11g protein/8 oz",1.0 container (6 oz),,0.337,,,,,,,,,,
902,"Candies, confectioner's coating, peanut butter",1.0 cups chips,,0.336,,,,,,,,,,
903,"Salami, pork, beef, less sodium",3.0 oz,,0.336,,,,,,,,,,
904,"Corn grain, white",1.0 cups,,0.334,,,,,,,,,,
905,"Lamb, Australian, imported, fresh, leg, sirloin chops, boneless, separable lean and fat, trimmed to 1/8"" fat, cooked, broiled",3.0 oz,,0.332,,,,,,,,,,
906,"Pork, cured, ham with natural juices, spiral slice, boneless, separable lean and fat, heated, roasted",1.0 slice,,0.328,,,,,,,,,,
907,"Cheese, cottage, nonfat, uncreamed, dry, large or small curd",1.0 cups (not packed),,0.328,,,,,,,,,,
908,"Snacks, trail mix, regular, with chocolate chips, unsalted nuts and seeds",1.0 cups,,0.327,,,,,,,,,,
909,"Tomato products, canned, sauce, with onions",1.0 cups,,0.326,,,,,,,,,,
910,"Pie crust, deep dish, frozen, unbaked, made with enriched flour",1.0 pie crust (average weight),,0.322,,,,,,,,,,
911,"Cheese, mozzarella, whole milk","1.0 cups, shredded",,0.317,,,,,,,,,,
912,"Mollusks, mussel, blue, raw",1.0 cups,,0.315,,,,,,,,,,
913,"Lamb, New Zealand, imported, frozen, loin, separable lean and fat, trimmed to 1/8"" fat, cooked, broiled",3.0 oz,,0.315,,,,,,,,,,
914,"Turkey, all classes, back, meat and skin, cooked, roasted","1.0 cups, chopped or diced",,0.314,,,,,,,,,,
915,"Edamame, frozen, unprepared",1.0 cups,,0.313,,,,,,,,,,
916,"Pork, fresh, loin, country-style ribs, separable lean only, bone-in, cooked, broiled",3.0 oz,,0.312,,,,,,,,,,
917,"Game meat, bison, top round, separable lean only, 1"" steak, cooked, broiled",1.0 serving ( 3 oz ),,0.31,,,,,,,,,,
918,"Turkey, whole, dark meat, meat and skin, cooked, roasted",3.0 oz,,0.31,,,,,,,,,,
919,"Fast foods, croissant, with egg, cheese, and ham",1.0 item,,0.31,,,,,,,,,,
920,"Passion-fruit, (granadilla), purple, raw",1.0 cups,,0.307,,,,,,,,,,
921,"Pork, fresh, loin, sirloin (roasts), bone-in, separable lean and fat, cooked, roasted",3.0 oz,,0.306,,,,,,,,,,
922,"Lamb, Australian, imported, fresh, composite of trimmed retail cuts, separable lean only, trimmed to 1/8"" fat, cooked",3.0 oz,,0.306,,,,,,,,,,
923,"Chicken, gizzard, all classes, cooked, simmered",1.0 cups chopped or dice,,0.304,,,,,,,,,,
924,"Game meat, elk, ground, cooked, pan-broiled",1.0 patty ( yield from 104.1 g raw meat ),,0.304,,,,,,,,,,
925,"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat, with added solution, cooked, braised",3.0 oz,,0.303,,,,,,,,,,
926,"Pork, Leg sirloin tip roast, boneless, separable lean and fat, raw",3.0 oz,,0.303,,,,,,,,,,
927,"Pork, fresh, shoulder, blade, boston (roasts), separable lean and fat, cooked, roasted",3.0 oz,,0.302,,,,,,,,,,
928,"Tomato products, canned, sauce, with onions, green peppers, and celery",1.0 cups,,0.3,,,,,,,,,,
929,"Cheese, mexican, queso chihuahua","1.0 cups, diced",,0.297,,,,,,,,,,
930,"Pork, fresh, loin, country-style ribs, separable lean and fat, bone-in, cooked, broiled",3.0 oz,,0.296,,,,,,,,,,
931,"Beans, black turtle, mature seeds, canned",1.0 cups,,0.288,,,,,,,,,,
932,"Peanuts, all types, dry-roasted, without salt",1.0 cups,,0.288,,,,,,,,,,
933,"Lamb, Australian, imported, fresh, rib chop, frenched, bone-in, separable lean and fat, trimmed to 1/8"" fat, cooked, grilled",3.0 oz,,0.286,,,,,,,,,,
934,"Cheese, cottage, lowfat, 2% milkfat",4.0 oz,,0.284,,,,,,,,,,
935,"Soup, chicken noodle, dry, mix",1.0 packet,,0.282,,,,,,,,,,
936,"Lamb, New Zealand, imported, frozen, shoulder, whole (arm and blade), separable lean and fat, trimmed to 1/8"" fat, cooked, braised",3.0 oz,,0.281,,,,,,,,,,
937,"Veal, breast, whole, boneless, separable lean only, cooked, braised",3.0 oz,,0.281,,,,,,,,,,
938,"Lamb, New Zealand, imported, frozen, foreshank, separable lean and fat, trimmed to 1/8"" fat, cooked, braised",3.0 oz,,0.281,,,,,,,,,,
939,"Soybeans, green, cooked, boiled, drained, without salt",1.0 cups,,0.279,,,,,,,,,,
940,"Beef, round, top round steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",3.0 oz,,0.277,,,,,,,,,,
941,"Game meat, deer, loin, separable lean only, 1"" steak, cooked, broiled",1.0 steak,,0.277,,,,,,,,,,
942,"Yogurt, fruit, low fat,9 g protein/8 oz",1.0 container (6 oz),,0.275,,,,,,,,,,
943,"Pork, fresh, loin, whole, separable lean and fat, cooked, broiled",3.0 oz,,0.273,,,,,,,,,,
944,"Cream puff, eclair, custard or cream filled, iced",4.0 oz,,0.272,,,,,,,,,,
945,"Beef, short loin, porterhouse steak, separable lean and fat, trimmed to 1/8"" fat, choice, raw",4.0 oz,,0.272,,,,,,,,,,
946,"Taro, tahitian, cooked, without salt",1.0 cups slices,,0.271,,,,,,,,,,
947,"Fish, roe, mixed species, cooked, dry heat",1.0 oz,,0.269,,,,,,,,,,
948,"Beef, top loin petite roast/filet, boneless, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",4.0 oz,,0.268,,,,,,,,,,
949,"Pork, fresh, loin, blade (chops or roasts), boneless, separable lean only, raw",4.0 oz,,0.268,,,,,,,,,,
950,"Beef, round, top round steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",3.0 oz,,0.266,,,,,,,,,,
951,"Chicken, broilers or fryers, drumstick, meat and skin, cooked, stewed","1.0 cups, chopped or diced",,0.266,,,,,,,,,,
952,"Pork, fresh, loin, center rib (roasts), bone-in, separable lean only, cooked, roasted",3.0 oz,,0.265,,,,,,,,,,
953,"Pie crust, deep dish, frozen, baked, made with enriched flour",1.0 pie crust (average weight),,0.263,,,,,,,,,,
954,"Fish, trout, mixed species, cooked, dry heat",1.0 fillet,,0.262,,,,,,,,,,
955,"Game meat, bison, ribeye, separable lean only, 1"" steak, cooked, broiled",1.0 serving ( 3 oz ),,0.261,,,,,,,,,,
956,"Chicken, dark meat, thigh, meat only, with added solution, raw",4.0 oz,,0.26,,,,,,,,,,
957,"Pork, fresh, loin, blade (chops or roasts), boneless, separable lean and fat only, raw",4.0 oz,,0.257,,,,,,,,,,
958,"Turkey, retail parts, thigh, meat and skin, cooked, roasted",3.0 oz,,0.252,,,,,,,,,,
959,"Cereals ready-to-eat, rice, puffed, fortified",1.0 cups,,0.252,,,,,,,,,,
960,"Veal, breast, whole, boneless, separable lean and fat, cooked, braised",3.0 oz,,0.252,,,,,,,,,,
961,"Veal, shank (fore and hind), separable lean and fat, cooked, braised",3.0 oz,,0.251,,,,,,,,,,
962,"Spinach, canned, regular pack, solids and liquids",1.0 cups,,0.248,,,,,,,,,,
963,"Beef, ribeye  petite roast/filet, boneless, separable lean only, trimmed to 0"" fat, select, raw",4.0 oz,,0.247,,,,,,,,,,
964,"Beef, ribeye cap steak, boneless, separable lean only, trimmed to 0"" fat, choice, raw",4.0 oz,,0.247,,,,,,,,,,
965,"Lamb, Australian, imported, fresh, shoulder ,blade, separable lean only, trimmed to 1/8"" fat, cooked, broiled",3.0 oz,,0.246,,,,,,,,,,
966,"Cornmeal, whole-grain, white",1.0 cups,,0.245,,,,,,,,,,
967,"Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, without salt",1.0 cups,,0.244,,,,,,,,,,
968,"Nuts, chestnuts, european, raw, unpeeled",1.0 cups,,0.244,,,,,,,,,,
969,"Asparagus, canned, drained solids",1.0 cups,,0.242,,,,,,,,,,
970,"Yogurt, plain, whole milk",1.0 container (6 oz),,0.241,,,,,,,,,,
971,"Lamb, Australian, imported, fresh, foreshank, separable lean only, trimmed to 1/8"" fat, cooked, braised",3.0 oz,,0.241,,,,,,,,,,
972,"Tomato products, canned, sauce, with tomato tidbits",1.0 cups,,0.237,,,,,,,,,,
973,"Lamb, shoulder, arm, separable lean and fat, trimmed to 1/8"" fat, cooked, broiled",3.0 oz,,0.23,,,,,,,,,,
974,"Cheese, ricotta, part skim milk",0.5 cups,,0.229,,,,,,,,,,
975,"Pork, fresh, loin, blade (roasts), boneless, separable lean and fat, cooked, roasted",3.0 oz,,0.229,,,,,,,,,,
976,"Egg, whole, raw, fresh",1.0 large,,0.229,,,,,,,,,,
977,"Egg, whole, cooked, fried",1.0 large,,0.228,,,,,,,,,,
978,"Chicken, broilers or fryers, giblets, raw",1.0 unit (yield from 1 lb ready-to-cook chicken),,0.227,,,,,,,,,,
979,"Pork, fresh, leg (ham), whole, separable lean and fat, raw",4.0 oz,,0.226,,,,,,,,,,
980,"Cream, fluid, heavy whipping","1.0 cups, whipped",,0.226,,,,,,,,,,
981,"Potatoes, scalloped, home-prepared with butter",1.0 cups,,0.225,,,,,,,,,,
982,"Fast foods, biscuit, with egg and bacon",1.0 biscuit,,0.225,,,,,,,,,,
983,"Peppers, pasilla, dried",1.0 pepper,,0.224,,,,,,,,,,
984,"Lamb, Australian, imported, fresh, shoulder, arm, separable lean and fat, trimmed to 1/8"" fat, cooked, braised",3.0 oz,,0.224,,,,,,,,,,
985,"Puddings, chocolate, dry mix, regular, prepared with whole milk",0.5 cups,,0.223,,,,,,,,,,
986,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",3.0 oz,,0.223,,,,,,,,,,
987,"Lamb, Australian, imported, fresh, foreshank, separable lean and fat, trimmed to 1/8"" fat, cooked, braised",3.0 oz,,0.223,,,,,,,,,,
988,"Beef, round, top round, steak, separable lean and fat, trimmed to 1/8"" fat, prime, cooked, broiled",3.0 oz,,0.221,,,,,,,,,,
989,"Peanuts, valencia, oil-roasted, without salt",1.0 cups,,0.22,,,,,,,,,,
990,"Beef, chuck, short ribs, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, braised",3.0 oz,,0.218,,,,,,,,,,
991,"Pork, fresh, loin, blade (chops), boneless, separable lean only, boneless, cooked, broiled",3.0 oz,,0.218,,,,,,,,,,
992,"Game meat, bison, ground, cooked, pan-broiled",1.0 patty ( yield from 112.7 g raw meat ),,0.215,,,,,,,,,,
993,"Milk substitutes, fluid, with lauric acid oil",1.0 cups,,0.215,,,,,,,,,,
994,"Tree fern, cooked, without salt","0.5 cups, chopped",,0.213,,,,,,,,,,
995,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled",3.0 oz,,0.212,,,,,,,,,,
996,"Toaster pastries, fruit, toasted (include apple, blueberry, cherry, strawberry)",1.0 pastry,,0.212,,,,,,,,,,
997,"Pork, cured, ham, shank, bone-in, separable lean only, unheated",3.0 oz,,0.212,,,,,,,,,,
998,"Chicken, broilers or fryers, meat and skin and giblets and neck, cooked, fried, batter",3.0 oz,,0.211,,,,,,,,,,
999,"Cowpeas (blackeyes), immature seeds, raw",1.0 cups,,0.21,,,,,,,,,,
1000,"Crustaceans, crab, queen, cooked, moist heat",3.0 oz,,0.207,,,,,,,,,,
1001,"Puddings, rice, ready-to-eat",1.0 serving 4 oz pudding cups,,0.207,,,,,,,,,,
1002,"Plantains, yellow, raw",1.0 plantain,,0.205,,,,,,,,,,
1003,"Turkey, all classes, leg, meat and skin, cooked, roasted",3.0 oz,,0.205,,,,,,,,,,
1004,"Currants, zante, dried",1.0 cups,,0.204,,,,,,,,,,
1005,"Lamb, loin, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",3.0 oz,,0.204,,,,,,,,,,
1006,"Beef, round, top round, separable lean and fat, trimmed to 1/8"" fat, select, cooked, braised",3.0 oz,,0.204,,,,,,,,,,
1007,"Beef, loin, top sirloin petite roast, boneless, separable lean only, trimmed to 0"" fat, select, cooked, roasted",3.0 oz,,0.204,,,,,,,,,,
1008,"Lamb, shoulder, blade, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",3.0 oz,,0.204,,,,,,,,,,
1009,"Cake, chocolate, prepared from recipe without frosting","1.0 piece (1/12 of 9"" dia)",,0.202,,,,,,,,,,
1010,"Pork, fresh, loin, top loin (roasts), boneless, separable lean only, cooked, roasted",3.0 oz,,0.201,,,,,,,,,,
1011,"Tomato products, canned, puree, without salt added",1.0 cups,,0.2,,,,,,,,,,
1012,"Tomato products, canned, puree, with salt added",1.0 cups,,0.2,,,,,,,,,,
1013,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",1.0 cups spaghetti,,0.198,,,,,,,,,,
1014,"Noodles, egg, spinach, enriched, cooked",1.0 cups,,0.197,,,,,,,,,,
1015,"Bread, pita, white, enriched","1.0 pita, large (6-1/2"" dia)",,0.196,,,,,,,,,,
1016,"Lamb, rib, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",3.0 oz,,0.196,,,,,,,,,,
1017,"Chicken, broilers or fryers, dark meat, meat and skin, cooked, stewed",1.0 unit (yield from 1 lb ready-to-cook chicken),,0.195,,,,,,,,,,
1018,"Fish, herring, Atlantic, pickled",1.0 cups,,0.195,,,,,,,,,,
1019,"Beef, chuck, top blade, separable lean only, trimmed to 0"" fat, select, cooked, broiled",3.0 oz,,0.194,,,,,,,,,,
1020,"Egg, whole, cooked, poached",1.0 large,,0.194,,,,,,,,,,
1021,"Frozen novelties, No Sugar Added, FUDGSICLE pops",1.0 serving,,0.193,,,,,,,,,,
1022,"Peas, green, raw",1.0 cups,,0.191,,,,,,,,,,
1023,"Pork, cured, ham, rump, bone-in, separable lean only, unheated",3.0 oz,,0.191,,,,,,,,,,
1024,"Squab, (pigeon), meat and skin, raw",3.0 oz,,0.19,,,,,,,,,,
1025,"Pork, fresh, variety meats and by-products, brain, cooked, braised",3.0 oz,,0.19,,,,,,,,,,
1026,"Tomato juice, canned, without salt added",1.0 cups,,0.19,,,,,,,,,,
1027,"Tomato juice, canned, with salt added",1.0 cups,,0.19,,,,,,,,,,
1028,"Chicken, stewing, meat and skin, and giblets and neck, cooked, stewed",3.0 oz,,0.188,,,,,,,,,,
1029,"Cheese, cottage, lowfat, 1% milkfat",4.0 oz,,0.186,,,,,,,,,,
1030,"Fish, salmon, chum, cooked, dry heat",3.0 oz,,0.186,,,,,,,,,,
1031,"Peas, mature seeds, sprouted, raw",1.0 cups,,0.186,,,,,,,,,,
1032,"Asparagus, frozen, cooked, boiled, drained, without salt",1.0 cups,,0.185,,,,,,,,,,
1033,"Chicken, broilers or fryers, back, meat only, raw",4.0 oz,,0.185,,,,,,,,,,
1034,"Pork, cured, ham, shank, bone-in, separable lean and fat, unheated",3.0 oz,,0.185,,,,,,,,,,
1035,"Cheese, cottage, creamed, large or small curd",4.0 oz,,0.184,,,,,,,,,,
1036,"Plantains, yellow, baked",1.0 cups,,0.181,,,,,,,,,,
1037,"Beef, shank crosscuts, separable lean only, trimmed to 1/4"" fat, choice, cooked, simmered",3.0 oz,,0.178,,,,,,,,,,
1038,"Lamb, shoulder, blade, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised",3.0 oz,,0.178,,,,,,,,,,
1039,"Lamb, rib, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",3.0 oz,,0.178,,,,,,,,,,
1040,"Crackers, cheese, sandwich-type with cheese filling",6.0 cracker 1 cracker = 6.5g,,0.178,,,,,,,,,,
1041,"Peas and carrots, frozen, cooked, boiled, drained, without salt",1.0 package (10 oz) yields,,0.178,,,,,,,,,,
1042,"Nuts, butternuts, dried",1.0 cups,,0.178,,,,,,,,,,
1043,"Seeds, pumpkin and squash seed kernels, roasted, with salt added",1.0 cups,,0.177,,,,,,,,,,
1044,"Amaranth leaves, cooked, boiled, drained, without salt",1.0 cups,,0.177,,,,,,,,,,
1045,"Turkey from whole, light meat, meat only, with added solution, cooked, roasted",3.0 oz,,0.177,,,,,,,,,,
1046,"Apricots, dehydrated (low-moisture), sulfured, uncooked",1.0 cups,,0.176,,,,,,,,,,
1047,"Snacks, KELLOGG, KELLOGG'S RICE KRISPIES TREATS Squares",1.0 serving,,0.176,,,,,,,,,,
1048,"Fish, seatrout, mixed species, cooked, dry heat",3.0 oz,,0.176,,,,,,,,,,
1049,"DIGIORNO Pizza, cheese topping, rising crust, frozen, baked",1.0 slice 1/4 of pie,,0.176,,,,,,,,,,
1050,"Potatoes, mashed, dehydrated, prepared from granules with milk, water and margarine added",1.0 cups,,0.174,,,,,,,,,,
1051,"Turkey, whole, breast, meat only, cooked, roasted",3.0 oz,,0.174,,,,,,,,,,
1052,"Egg substitute, powder",0.35 oz,,0.174,,,,,,,,,,
1053,"Beef, brisket, flat half, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw",4.0 oz,,0.174,,,,,,,,,,
1054,"Fish, salmon, pink, canned, drained solids",3.0 oz,,0.172,,,,,,,,,,
1055,"Mollusks, oyster, eastern, cooked, breaded and fried",3.0 oz,,0.172,,,,,,,,,,
1056,"Focaccia, Italian flatbread, plain",1.0 piece,,0.172,,,,,,,,,,
1057,"Fish, herring, Pacific, raw",3.0 oz,,0.17,,,,,,,,,,
1058,"Pork, cured, ham, rump, bone-in, separable lean and fat, unheated",3.0 oz,,0.169,,,,,,,,,,
1059,"Soup, chicken, canned, chunky, ready-to-serve",1.0 cups,,0.169,,,,,,,,,,
1060,Barley flour or meal,1.0 cups,,0.169,,,,,,,,,,
1061,"Biscuits, plain or buttermilk, refrigerated dough, higher fat",1.0 biscuit,,0.168,,,,,,,,,,
1062,"Snacks, crisped rice bar, chocolate chip",1.0 bar (1 oz),,0.168,,,,,,,,,,
1063,"Jute, potherb, cooked, boiled, drained, without salt",1.0 cups,,0.167,,,,,,,,,,
1064,"POPEYES, biscuit",1.0 biscuit,,0.166,,,,,,,,,,
1065,"Chicken, broilers or fryers, meat and skin, cooked, fried, flour",3.0 oz,,0.164,,,,,,,,,,
1066,"Turkey, drumstick, from whole bird, meat only, raw",4.0 oz,,0.164,,,,,,,,,,
1067,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean and fat, trimmed to 0"" fat, all grades, raw",4.0 oz,,0.164,,,,,,,,,,
1068,"Lima beans, immature seeds, cooked, boiled, drained, without salt",1.0 cups,,0.163,,,,,,,,,,
1069,"Potatoes, mashed, dehydrated, prepared from granules without milk, whole milk and butter added",1.0 cups,,0.162,,,,,,,,,,
1070,"Grapefruit juice, white, frozen concentrate, unsweetened, undiluted",1.0 can (6 fl oz),,0.161,,,,,,,,,,
1071,"Cheese, cottage, creamed, with fruit",4.0 oz,,0.16,,,,,,,,,,
1072,"Chicken, broilers or fryers, leg, meat and skin, cooked, roasted",3.0 oz,,0.159,,,,,,,,,,
1073,"Milk, canned, condensed, sweetened",1.0 fl oz,,0.159,,,,,,,,,,
1074,"Cake, yellow, prepared from recipe without frosting","1.0 piece (1/12 of 8"" dia)",,0.158,,,,,,,,,,
1075,"Fish, salmon, pink, canned, without salt, solids with bone and liquid",3.0 oz,,0.158,,,,,,,,,,
1076,"Martha White Foods, Martha White's Buttermilk Biscuit Mix, dry",1.0 serving,,0.156,,,,,,,,,,
1077,"Fish, burbot, cooked, dry heat",1.0 fillet,,0.155,,,,,,,,,,
1078,"Chicken, broiler, rotisserie, BBQ, back meat only",3.0 oz,,0.154,,,,,,,,,,
1079,"Corn, sweet, yellow, canned, vacuum pack, regular pack",1.0 cups,,0.153,,,,,,,,,,
1080,"Mollusks, oyster, eastern, wild, cooked, moist heat",3.0 oz,,0.153,,,,,,,,,,
1081,"Nuts, almond butter, plain, with salt added",1.0 tbsp,,0.15,,,,,,,,,,
1082,"Cream, fluid, light whipping","1.0 cups, whipped",,0.15,,,,,,,,,,
1083,"Infant formula, ABBOTT NUTRITION, SIMILAC, GO AND GROW, ready-to-feed, with ARA and DHA",5.0 fl oz,,0.15,,,,,,,,,,
1084,"Broccoli, frozen, chopped, unprepared",1.0 cups,,0.15,,,,,,,,,,
1085,"Garlic, raw",1.0 cups,,0.15,,,,,,,,,,
1086,"Beef, ground, 90% lean meat / 10% fat, patty, cooked, broiled",3.0 oz,,0.15,,,,,,,,,,
1087,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",1.0 cups,,0.149,,,,,,,,,,
1088,"Cereals, corn grits, white, regular and quick, enriched, cooked with water, with salt",1.0 cups,,0.149,,,,,,,,,,
1089,"Broccoli, frozen, chopped, cooked, boiled, drained, without salt",1.0 cups,,0.149,,,,,,,,,,
1090,"Egg, yolk, raw, frozen, sugared, pasteurized",1.0 oz,,0.148,,,,,,,,,,
1091,"Beef, round, top round, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",3.0 oz,,0.147,,,,,,,,,,
1092,"Bread, cheese",1.0 slice,,0.145,,,,,,,,,,
1093,"Peaches, dehydrated (low-moisture), sulfured, stewed",1.0 cups,,0.145,,,,,,,,,,
1094,"Bread, pan dulce, sweet yeast bread",1.0 slice (average weight of 1 slice),,0.145,,,,,,,,,,
1095,"Egg, white, raw, fresh",1.0 large,,0.145,,,,,,,,,,
1096,"Pork sausage, link/patty, reduced fat, unprepared",3.0 oz,,0.145,,,,,,,,,,
1097,"Fish, mackerel, spanish, raw",3.0 oz,,0.145,,,,,,,,,,
1098,"Peas, edible-podded, frozen, unprepared",1.0 cups,,0.144,,,,,,,,,,
1099,"Potatoes, Russet, flesh and skin, baked","1.0 potato large (3"" to 4-1/4"" dia.",,0.144,,,,,,,,,,
1100,"Cereals, CREAM OF WHEAT, instant, dry",1.0 tbsp,,0.14,,,,,,,,,,
1101,"Sausage, chicken, beef, pork, skinless, smoked",1.0 link,,0.139,,,,,,,,,,
1102,"Cheese, camembert",1.0 oz,,0.138,,,,,,,,,,
1103,"Chicken, broilers or fryers, leg, meat only, cooked, fried",1.0 unit (yield from 1 lb ready-to-cook chicken),,0.138,,,,,,,,,,
1104,"Cake, angelfood, commercially prepared",1.0 piece (1/12 of 12 oz cake),,0.137,,,,,,,,,,
1105,"Frankfurter, pork",1.0 link,,0.136,,,,,,,,,,
1106,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",3.0 oz,,0.136,,,,,,,,,,
1107,"Fish, salmon, coho, wild, cooked, moist heat",3.0 oz,,0.135,,,,,,,,,,
1108,"Cereals, corn grits, yellow, regular and quick, enriched, cooked with water, without salt",1.0 cups,,0.135,,,,,,,,,,
1109,"Beef, brisket, flat half, separable lean and fat, trimmed to 0"" fat, select, cooked, braised",3.0 oz,,0.134,,,,,,,,,,
1110,"Sausage, turkey, fresh, raw",1.0 serving,,0.133,,,,,,,,,,
1111,"Cracker, meal",1.0 oz,,0.133,,,,,,,,,,
1112,"Tomatoes, red, ripe, canned, packed in tomato juice",1.0 cups,,0.132,,,,,,,,,,
1113,"Beef, top sirloin, steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled",3.0 oz,,0.132,,,,,,,,,,
1114,"Pork, fresh, variety meats and by-products, pancreas, raw",1.0 oz,,0.13,,,,,,,,,,
1115,"Oat flour, partially debranned",1.0 cups,,0.13,,,,,,,,,,
1116,"Cress, garden, raw",1.0 cups,,0.13,,,,,,,,,,
1117,"Nuts, hazelnuts or filberts","1.0 cups, chopped",,0.13,,,,,,,,,,
1118,"Tofu, raw, firm, prepared with calcium sulfate",0.5 cups,,0.129,,,,,,,,,,
1119,"Beef, loin, top loin, separable lean and fat, trimmed to 1/8"" fat, select, raw",4.0 oz,,0.127,,,,,,,,,,
1120,"Mung beans, mature seeds, sprouted, cooked, boiled, drained, without salt",1.0 cups,,0.126,,,,,,,,,,
1121,"Rice flour, brown",1.0 cups,,0.126,,,,,,,,,,
1122,"Asparagus, cooked, boiled, drained",0.5 cups,,0.125,,,,,,,,,,
1123,"Muffin, blueberry, commercially prepared, low-fat",1.0 muffin small,,0.124,,,,,,,,,,
1124,"Litchis, raw",1.0 cups,,0.123,,,,,,,,,,
1125,"Turkey, ground, fat free, patties, broiled",3.0 oz,,0.123,,,,,,,,,,
1126,"Sausage, pork and beef, with cheddar cheese, smoked",12.0 oz serving 2.7 oz,,0.123,,,,,,,,,,
1127,"Lima beans, immature seeds, frozen, baby, unprepared",1.0 cups,,0.123,,,,,,,,,,
1128,"Snacks, pork skins, barbecue-flavor",1.0 oz,,0.122,,,,,,,,,,
1129,"Beans, snap, green, frozen, cooked, boiled, drained without salt",1.0 cups,,0.121,,,,,,,,,,
1130,"Turnip greens, frozen, cooked, boiled, drained, without salt",1.0 cups,,0.121,,,,,,,,,,
1131,"Sweet potato, cooked, baked in skin, flesh, with salt","1.0 medium (2"" dia, 5"" long, raw)",,0.121,,,,,,,,,,
1132,"Fish, bluefish, raw",1.0 fillet,,0.12,,,,,,,,,,
1133,"Pork, fresh, variety meats and by-products, feet, raw",4.0 oz,,0.12,,,,,,,,,,
1134,"Blueberries, frozen, sweetened","1.0 cups, thawed",,0.12,,,,,,,,,,
1135,"Beef, tenderloin, steak, separable lean and fat, trimmed to 1/8"" fat, select, raw",4.0 oz,,0.119,,,,,,,,,,
1136,"Fish, lingcod, cooked, dry heat",3.0 oz,,0.118,,,,,,,,,,
1137,"Seeds, safflower seed meal, partially defatted",1.0 oz,,0.117,,,,,,,,,,
1138,"Mollusks, oyster, Pacific, raw",1.0 medium,,0.117,,,,,,,,,,
1139,"Pork, cured, ham and water product, slice, boneless, separable lean and fat, heated, pan-broil",3.0 oz (3 oz),,0.116,,,,,,,,,,
1140,"Mushrooms, Chanterelle, raw",1.0 cups,,0.116,,,,,,,,,,
